horario,canción,artista,duración,categoría,popularidad,energía,baile,positividad
Noche,Tranquilidad,QUITAPENAS,209723,electronica,19,0.904,0.555,0.932
Noche,Bad At Love,Halsey,181279,pop_comercial,74,0.751,0.675,0.612
Noche,Happier,Marshmello;Bastille,214289,electronica,1,0.792,0.687,0.671
Tarde,Shinin',Tegi Pannu;Manni Sandhu,195699,urbana,59,0.673,0.722,0.919
Tarde,Paradise (feat. Dermot Kennedy),MEDUZA;Dermot Kennedy,167903,electronica,79,0.595,0.632,0.435
Tarde,Liberdade Perpétua,Murica;BEATDOMK;Jean Tassy,179435,latino,44,0.434,0.663,0.312
Tarde,Por Más Que Intento - Balada,Gilberto Santa Rosa,243626,rock,29,0.661,0.42,0.367
Mañana,Quartz,KASHIWA Daisuke,196186,electronica,10,0.206,0.499,0.319
Noche,Fuel,Metallica,269800,rock,71,0.951,0.49,0.589
Noche,Fuego,DJ Snake;Sean Paul;Anitta;Tainy,195428,electronica,1,0.856,0.78,0.605
Noche,Polluted Skies,The Bombpops,145906,pop_comercial,21,0.948,0.566,0.574
Noche,Fall City,Ochre,198992,electronica,15,0.375,0.511,0.0995
Noche,"The Secret Life Of Daydreams - From ""Pride & Prejudice"" Soundtrack",Dario Marianelli;Jean-Yves Thibaudet,115160,tranquila,52,0.0213,0.296,0.174
Noche,Hublander,Ilkae,49866,electronica,11,0.555,0.705,0.492
Tarde,Al Ritmo De La Lluvia,Los Sleepers,140026,rock,40,0.626,0.758,0.933
Mañana,Caminito,Edmundo Rivero,204400,latino,18,0.374,0.398,0.339
Tarde,Your Song,Rita Ora,180746,electronica,54,0.621,0.869,0.962
Noche,The Great Escape,Boys Like Girls,206520,rock,55,0.94,0.423,0.505
Noche,Bad Company,One True God;Le Castle Vania,167368,electronica,43,0.895,0.752,0.0373
Noche,O Bom,Eduardo Araujo;The Fevers,166906,rock,34,0.831,0.681,0.887
Tarde,Quiero Comenzar,Willie Gonzalez,325360,latino,31,0.602,0.658,0.844
Tarde,Esgalduin,Little Symphony,49523,tranquila,27,0.129,0.29,0.182
Tarde,念念不忘,Juno Mak,271353,pop_comercial,43,0.687,0.431,0.351
Noche,Master of Puppets,Metallica,514479,rock,69,0.868,0.538,0.556
Noche,Timeless,Ocoeur,298946,electronica,12,0.345,0.343,0.0381
Noche,Choo Lo,The Local Train,233630,pop_comercial,67,0.695,0.512,0.351
Noche,Cretino,Babasónicos,181946,rock,43,0.907,0.638,0.649
Noche,There's A Light (Over At The Frankenstein Place),Glee Cast,153493,electronica,18,0.453,0.262,0.348
Noche,Histoire du tango: II. Café 1930,Astor Piazzolla;Nora Lee García;Rene Izquierdo,398679,latino,16,0.114,0.312,0.185
Tarde,All of the Time,Project Grand Slam,214240,rock,38,0.613,0.64,0.608
Noche,Sun Is Shining,Axwell /\ Ingrosso;Axwell;Sebastian Ingrosso,254653,electronica,69,0.757,0.467,0.383
Noche,Sexy Movimiento,Wisin & Yandel,211920,latino,1,0.858,0.787,0.814
Noche,Little Einsteins Tangin Song,dj Shawny,66913,electronica,41,0.728,0.711,0.461
Noche,Llama por Favor,Allison,134626,rock,41,0.799,0.432,0.849
Noche,Sunshine,OneRepublic,163854,tranquila,1,0.875,0.697,0.774
Noche,Aladin - Original Mix,Mandragora;Devochka,288750,electronica,40,0.542,0.785,0.144
Noche,A Luz De Tieta - Live In Brazil / 1998,Caetano Veloso,251666,urbana,42,0.95,0.747,0.656
Noche,Atlas - Adriatique Remix,Marc Romboy;Stephan Bodzin;Adriatique,377738,electronica,47,0.688,0.767,0.036
Noche,Bitter Morning Taste,Tim Vantol,149274,tranquila,28,0.396,0.38,0.192
Noche,Qué Más Pues?,J Balvin;Maria Becerra,217361,latino,1,0.817,0.904,0.753
Noche,Don't Dream It's Over (Glee Cast Version),Glee Cast,226733,rock,41,0.602,0.399,0.287
Mañana,The Apology Song,Gustavo Santaolalla;Diego Luna,172226,tranquila,55,0.183,0.549,0.337
Mañana,Reckless,Lund,206270,electronica,57,0.467,0.461,0.167
Noche,Cloud 9,Beach Bunny,147350,rock,79,0.929,0.637,0.902
Noche,Munjaane Manjalli,Raghu Dixit,340244,pop_comercial,52,0.505,0.39,0.28
Noche,Written In Reverse,Tiësto;Hardwell;Matthew Koma,268267,electronica,43,0.765,0.473,0.271
Noche,Dolor de ausencia,Pepe Aguirre,117957,latino,24,0.315,0.702,0.961
Noche,I Don't Like To Sleep Alone,Paul Anka;Odia Coates,198826,rock,49,0.557,0.48,0.26
Noche,Ouroboros,Dominique Charpentier,150000,tranquila,54,0.105,0.323,0.186
Tarde,Locked out of Heaven,Bruno Mars,233478,pop_comercial,87,0.698,0.726,0.867
Mañana,Mi Tango Triste,Anibal Troilo y su orquesta;Alberto Marino,203493,latino,18,0.206,0.469,0.579
Noche,Livin' On A Prayer,Bon Jovi,250626,rock,2,0.89,0.527,0.818
Noche,Stuck with U (with Justin Bieber),Ariana Grande;Justin Bieber,228482,pop_comercial,83,0.45,0.597,0.537
Noche,Astaghfirullah,MC STAN,213333,urbana,58,0.725,0.653,0.349
Noche,talk is overrated,Jeremy Zucker;blackbear,189800,electronica,65,0.353,0.776,0.658
Noche,I Giorni,Ludovico Einaudi,411080,tranquila,59,0.0314,0.277,0.0495
Noche,Sweet Dreams,La Bouche,204586,electronica,57,0.956,0.656,0.831
Noche,Iron Man Armored Adventures Theme,Rooney,136240,rock,50,0.891,0.571,0.821
Noche,I Need Your Love (feat. Ellie Goulding),Calvin Harris;Ellie Goulding,234506,electronica,71,0.869,0.695,0.58
Noche,Love Letter,Anthony Lazaro;Sarah Kang,205956,tranquila,46,0.295,0.639,0.406
Noche,Jatayu,Colyn,239668,electronica,45,0.804,0.706,0.225
Noche,When I Hold You Tonight,General Degree,183826,urbana,30,0.821,0.884,0.708
Noche,CÓMO SE SIENTE - Remix,Jhayco;Bad Bunny,227520,latino,2,0.606,0.807,0.304
Noche,Hablando Claro,El Coyote Y Su Banda Tierra Santa,136760,urbana,48,0.434,0.699,0.977
Noche,A Bitter Rain,BigRicePiano,230639,tranquila,49,0.0217,0.356,0.183
Noche,16 Shots,Stefflon Don,224727,urbana,36,0.792,0.684,0.549
Tarde,I'm Like A Bird,Nelly Furtado,243160,latino,1,0.607,0.623,0.614
Tarde,Why Have I Lost You - Version 2,Cameo,314906,pop_comercial,29,0.501,0.594,0.589
Tarde,Tuesday (feat. Danelle Sandoval),Burak Yeter;Danelle Sandoval,241874,electronica,72,0.639,0.841,0.675
Noche,Good Morning [New] World!,BURNOUT SYNDROMES,258613,rock,51,0.916,0.39,0.483
Noche,Amar,Prabh Deep,272747,electronica,44,0.665,0.522,0.395
Noche,Hospital for Heroes,Direct Hit!,187480,pop_comercial,21,0.979,0.47,0.732
Noche,The Journey,Malik Jeremiassen,157000,tranquila,59,0.0375,0.165,0.0654
Noche,Mary On A Cross,Ghost,244804,rock,2,0.9,0.467,0.554
Noche,The Fall (Tritonia 399),Dennis Sheperd;York;Iris,297143,electronica,26,0.809,0.597,0.244
Noche,At My Worst,Pink Sweat$,170344,tranquila,74,0.415,0.813,0.667
Noche,復讐,My Hair is Bad,164293,rock,39,0.957,0.593,0.691
Noche,Te Quiero Pa´Mi,Don Omar;Zion & Lennox,212026,latino,2,0.816,0.765,0.624
Noche,"Yo Tierra, Tú Semilla",Alex Campos,224817,urbana,41,0.841,0.658,0.676
Noche,Malarodu Malaringu,Roshan Sebastian,63000,pop_comercial,50,0.247,0.465,0.295
Tarde,Without Me,Eminem,290320,urbana,88,0.669,0.908,0.662
Tarde,Pure,Cigarettes After Sex,254626,tranquila,55,0.211,0.537,0.0399
Noche,Skylight,Overseer,299946,electronica,32,0.752,0.623,0.169
Noche,Smooth Sailin' Tonight - Single Version; Remastered,The Isley Brothers,239746,pop_comercial,34,0.41,0.663,0.528
Noche,You Give Love A Bad Name,Bon Jovi,223146,rock,1,0.964,0.532,0.804
Noche,Say Goodbye Fireflies,El Tigr3,261066,electronica,36,0.857,0.578,0.0349
Tarde,Luv (sic),Nujabes,286320,urbana,59,0.677,0.906,0.869
Noche,Jump Around,House Of Pain,214946,rock,65,0.71,0.854,0.818
Noche,Do They Know It's Christmas?,Glee Cast,205360,electronica,17,0.731,0.497,0.558
Tarde,Manic Monday,The Bangles,184173,rock,46,0.571,0.685,0.869
Noche,Fantasias - Remix,Rauw Alejandro;Anuel AA;Natti Natasha;Farruko;Lunay,267241,latino,67,0.72,0.816,0.78
Noche,The Only Way,Daxson;Numa,286222,electronica,44,0.9,0.463,0.0775
Noche,for your time - Audiotree Live Version,Prateek Kuhad,217670,pop_comercial,38,0.166,0.759,0.364
Noche,Black Hills,The Budos Band,268333,electronica,24,0.728,0.44,0.518
Noche,Andrea,Bad Bunny;Buscabulla,339611,latino,86,0.616,0.797,0.451
Noche,Awaiting the Green Morning,Ochre,269000,electronica,11,0.417,0.548,0.134
Noche,Sextape,Deftones,241533,rock,75,0.634,0.367,0.0964
Tarde,Cool Kids,Echosmith,237626,pop_comercial,77,0.671,0.719,0.786
Noche,Prometheus - Costa Pantazis Remix Edit,NG Rezonance;Costa Pantazis,200665,electronica,28,0.863,0.473,0.483
Noche,PURE GOLD - Remastered 2022,Eikichi Yazawa,239960,rock,38,0.717,0.677,0.6
Noche,Like A Virgin (Glee Cast Version) (feat. Jonathan Groff),Glee Cast;Jonathan Groff,195093,electronica,15,0.845,0.679,0.763
Noche,Sovereign Light Café,Keane,218840,tranquila,62,0.725,0.535,0.509
Noche,Cruz de tecido - Ao vivo,O Rappa,263894,urbana,43,0.793,0.506,0.429
Noche,Accede,Carbon Based Lifeforms,343606,tranquila,41,0.524,0.49,0.0929
Tarde,Midnight Rider,Allman Brothers Band,180066,rock,72,0.532,0.585,0.68
Tarde,這世界那麼多人 - 電影《我要我們在一起》主題曲,Karen Mok,285833,tranquila,57,0.184,0.526,0.237
Tarde,Me Beija,Gabriel Elias;Roberta Campos,190937,latino,49,0.428,0.674,0.601
Noche,Looking Down the Barrel of Today,Hatebreed,161626,rock,70,0.986,0.486,0.501
Noche,Answer From The Stars - Vagus Vip Remix,Vegas (Brasil);Vagus,349090,electronica,40,0.672,0.536,0.153
Noche,Parte de la Religión,Charly García,186600,rock,36,0.414,0.559,0.323
Tarde,Ready Yet,Mokita,152922,urbana,64,0.531,0.79,0.627
Tarde,Talking to the Moon,Bruno Mars,217866,pop_comercial,82,0.59,0.498,0.0784
Tarde,"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,204666,tranquila,1,0.173,0.138,0.159
Noche,Alors On Danse - DubDogz Remix,Stromae;Dubdogz,168576,pop_comercial,70,0.752,0.789,0.739
Tarde,Mano a Mano,Julio Sosa;Orquesta de Leopoldo Federico,200306,latino,17,0.648,0.446,0.655
Tarde,SABINA之淚,my little airport,140892,pop_comercial,42,0.346,0.551,0.459
Tarde,Apelido Carinhoso / Cigana - Ao Vivo,Maneva,381045,latino,48,0.534,0.765,0.512
Tarde,Me Hiciste un Borracho,Edwin Luna y La Trakalosa de Monterrey,199764,urbana,50,0.577,0.547,0.776
Noche,Block Rockin' Beats,The Chemical Brothers,313666,electronica,49,0.982,0.558,0.69
Noche,Sembrador De Amor,Joan Sebastian,157942,urbana,43,0.707,0.665,0.777
Noche,Sensual Bebé,Jhayco,209146,latino,1,0.629,0.776,0.104
Tarde,Sad!,Kid Travis,150447,tranquila,50,0.51,0.703,0.698
Tarde,Beyond Control,The Dream Syndicate,355733,rock,22,0.68,0.353,0.484
Noche,Slide (feat. Frank Ocean & Migos),Calvin Harris;Frank Ocean;Migos,230813,electronica,72,0.795,0.736,0.511
Noche,Street Style,JERRY,158048,pop_comercial,63,0.743,0.516,0.445
Noche,Southbound,The Travelin' McCourys,183053,rock,25,0.846,0.51,0.931
Tarde,Your Love,The Outfield,216466,pop_comercial,76,0.654,0.579,0.616
Mañana,Feeling Good,Nina Simone,175021,latino,1,0.414,0.428,0.508
Mañana,Sakhiyaan,Maninder Buttar,179325,pop_comercial,73,0.674,0.706,0.359
Mañana,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,117146,tranquila,68,0.24,0.451,0.701
Mañana,Coming Undone,Korn,199773,rock,75,0.677,0.687,0.545
Noche,Under Water,Fareoh,165668,electronica,53,0.93,0.647,0.185
Noche,Mrs. Robinson - Remastered,The Lemonheads,224480,pop_comercial,22,0.936,0.494,0.835
Noche,Dance With Me,Kevin de Vries,391590,electronica,63,0.704,0.792,0.472
Noche,"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",Owl City,218093,pop_comercial,67,0.831,0.638,0.388
Noche,i heard heaven is a nice place,Carter Powers,134509,tranquila,39,0.23,0.638,0.412
Noche,Heaven Nor Hell,Volbeat,322613,rock,1,0.767,0.411,0.659
Noche,"無限旅程 - 電視劇 ""生命之旅"" 主題曲",Kenny Bee,185866,pop_comercial,18,0.554,0.566,0.25
Noche,Revenger,F.O.O.L,222562,electronica,34,0.879,0.595,0.166
Noche,Eu Vou Correr,Heloisa Rosa,239013,latino,46,0.722,0.554,0.278
Noche,Ozeanische Residenz,Weißes Rauschen HD,222812,tranquila,44,0.457,0.167,1e-05
Noche,Talk,DJ Snake;George Maple,237960,electronica,51,0.802,0.572,0.255
Noche,"Nattu Sarakku - Language: Tamil; Film: Pudukkottaielerunthusaravanan; Film Artists: Dhanush, Aparna",Dhanush,276546,pop_comercial,54,0.741,0.666,0.916
Noche,Shot In The Dark,AC/DC,185133,rock,63,0.787,0.599,0.822
Noche,Breaking Down,AILEE,223706,pop_comercial,58,0.342,0.294,0.229
Noche,the color of the sky - solo piano,Chad Lawson,223880,tranquila,51,0.0172,0.171,0.0686
Mañana,Eternal Flame,The Bangles,235666,rock,64,0.233,0.521,0.4
Noche,Cielos Rosado,Ozuna,182840,latino,59,0.72,0.86,0.23
Noche,Before your eyes,Mirta da Silva,180777,tranquila,55,0.0394,0.412,0.19
Tarde,Mañana Que Ya No Estés,Huichol Musical,201770,latino,45,0.495,0.736,0.846
Noche,Einatmen - Kalte Liebe Remix,giovanni carozza;Kalte Liebe,274168,electronica,29,0.996,0.56,0.161
Noche,Living In The Real World,Blondie,163706,pop_comercial,21,0.947,0.288,0.432
Noche,World Hold On - FISHER Rework,Bob Sinclar;FISHER;Steve Edwards,178304,electronica,73,0.883,0.771,0.895
Noche,Reverie,Sleep Surgeon,211555,tranquila,41,0.392,0.467,0.038
Noche,Lordly - Instrumental Mix,Feder,273470,electronica,51,0.596,0.748,0.472
Noche,Cry Baby,The Neighbourhood,235160,rock,74,0.656,0.581,0.338
Noche,願你今夜別離去,Leon Lai,294386,pop_comercial,22,0.746,0.569,0.517
Noche,東京人壽,Joey Yung,257099,latino,44,0.813,0.451,0.341
Noche,Back in Business,Lack Of Afro;Wax;Herbal T,226515,electronica,21,0.925,0.815,0.898
Noche,E Io Penso A Te,Ivana Spagna,243226,pop_comercial,32,0.459,0.479,0.316
Tarde,Viejo Rincón (with Leopoldo Federico y Su Orquesta),Julio Sosa;Leopoldo Federico y su Orquesta,178013,latino,26,0.66,0.45,0.734
Tarde,Papua New Guinea - Andrew Weatherall Single Mix,The Future Sound Of London,584026,electronica,12,0.615,0.651,0.757
Noche,Spit Of You,Sam Fender,273026,rock,2,0.759,0.387,0.381
Noche,Paciencia,Augustín Magaldi,171226,latino,20,0.354,0.564,0.577
Tarde,Glad I’m Gone,The Steeldrivers,179186,rock,35,0.696,0.555,0.84
Noche,Voices Of Babylon,The Outfield,211133,pop_comercial,22,0.862,0.63,0.675
Noche,Libertango,Astor Piazzolla,249466,latino,19,0.527,0.415,0.509
Noche,I Want More,Marc Benjamin,129600,electronica,70,0.888,0.746,0.296
Tarde,Es kommt zum Duell,Dualizm;Grmmr.126,80563,tranquila,57,0.532,0.689,0.691
Tarde,Tal Vez Sera Su Voz,Lucio Demare;Raúl Berón,185200,latino,15,0.262,0.556,0.64
Noche,Fried Banana 2018,OSAMU SATO,279800,electronica,9,0.886,0.56,0.964
Noche,The Gathering,Frank Turner,159019,pop_comercial,27,0.942,0.424,0.447
Noche,Mehfooz,Ritviz,142201,electronica,56,0.643,0.453,0.318
Noche,Quebra-Mar,Charlie Brown Jr.,177200,rock,38,0.985,0.157,0.411
Noche,Naama,Sultan + Shepard;Nathan Nicholson,332250,electronica,45,0.697,0.626,0.0537
Noche,BOSS,NCT;NCT U,210641,pop_comercial,66,0.543,0.787,0.332
Noche,re:member,Ólafur Arnalds,364648,tranquila,51,0.336,0.366,0.0542
Noche,Drive,The Cars,234493,rock,67,0.606,0.582,0.504
Noche,Trzeba Świrować,Nowator;Paprodziad;KAŁAMAGA,216428,latino,36,0.808,0.903,0.72
Noche,I Wish I Was A Hipster WCL-F Remix - West Coast Lo-Fi Remix,Bassnectar;West Coast Lo-Fi,91826,electronica,12,0.642,0.58,0.0504
Noche,Everytime We Touch - Remastered,Maggie Reilly,244533,pop_comercial,35,0.821,0.633,0.579
Noche,Who Is Tyler Durden?,The Dust Brothers,303178,electronica,37,0.389,0.722,0.369
Noche,Dulce,Little Symphony,77647,tranquila,27,0.123,0.183,0.0448
Noche,Goat,AP Dhillon;Gurinder Gill;Money Musik,159130,urbana,63,0.821,0.725,0.135
Noche,MEGATON,Owl Vision,142048,electronica,43,0.91,0.531,0.0755
Noche,Summer Paradise (feat. Sean Paul) - Single Version,Simple Plan;Sean Paul,234786,rock,61,0.822,0.421,0.751
Noche,Sweet Feet,Orgone,229633,electronica,18,0.722,0.766,0.842
Noche,Figure It Out,Royal Blood,183602,rock,67,0.814,0.658,0.69
Noche,Pretty Green Eyes - Radio Edit,Ultrabeat,201920,electronica,61,0.775,0.553,0.51
Noche,Blue Eyes,Yo Yo Honey Singh,220943,pop_comercial,68,0.51,0.77,0.533
Noche,Adelphi '88 (Tritonia 400),Tritonal,316091,electronica,1,0.97,0.543,0.126
